"NAME_FGENE","MODEL_LOC_ID","GOSLIM_ID","KEYWORD_CATEGORY","GOSLIM_TERM","ANNOTATED_BY","TAIR_ID"
"chrChr1_mRNA_614_3356461","LOC_Os01g07120.2","GO:0006950","P","response to stress","IEA","TAIR:AT5G05410"
"chrChr1_mRNA_614_3356461","LOC_Os01g07120.2","GO:0009628","P","response to abiotic stimulus","IEA","TAIR:AT5G05410"
"chrChr1_mRNA_973_5811510","LOC_Os01g10890.1","GO:0009719","P","response to endogenous stimulus","IEA","TAIR:AT5G45820"
"chrChr1_mRNA_553_3090887","LOC_Os01g06550.1","GO:0009908","P","flower development","IEA","TAIR:AT5G05660"
"chrChr1_mRNA_657_3553146","LOC_Os01g07480.1","GO:0007275","P","multicellular organismal development","IEA","TAIR:AT5G63090"
"chrChr1_mRNA_667_3645512","LOC_Os01g07590.1","GO:0009628","P","response to abiotic stimulus","IEA","TAIR:AT3G17020"
"chrChr1_mRNA_1031_6224242","LOC_Os01g11550.1","GO:0007275","P","multicellular organismal development","IEA","TAIR:AT3G15030"
"chrChr1_mRNA_249_1421693","LOC_Os01g03520.1","GO:0006950","P","response to stress","IEA","TAIR:AT2G33770"
"chrChr1_mRNA_1015_6096528","LOC_Os01g11350.1","GO:0003700","F","sequence-specific DNA binding transcription factor","IEA","TAIR:AT3G58120"
"chrChr1_mRNA_265_1486400","LOC_Os01g03620.1","GO:0007275","P","multicellular organismal development","IEA","TAIR:AT1G23010"
"chrChr1_mRNA_266_1492334","LOC_Os01g03630.1","GO:0006950","P","response to stress","IEA","TAIR:AT1G23010"
"chrChr1_mRNA_268_1500606","LOC_Os01g03640.1","GO:0009991","P","response to extracellular stimulus","IEA","TAIR:AT1G23010"
"chrChr1_mRNA_276_1534135","LOC_Os01g03710.1","GO:0009791","P","post-embryonic development","IEA","TAIR:AT3G02570"
"chrChr1_mRNA_1166_7249821","LOC_Os01g13030.2","GO:0003700","F","sequence-specific DNA binding transcription factor","IEA","TAIR:AT2G22670"
"chrChr1_mRNA_302_1746423","LOC_Os01g04020.2","GO:0007275","P","multicellular organismal development","IEA","TAIR:AT1G12980"
"chrChr1_mRNA_436_2560897","LOC_Os01g05420.1","GO:0009719","P","response to endogenous stimulus","IEA","TAIR:AT1G32130"
"chrChr1_mRNA_38_191037","LOC_Os01g01380.1","GO:0009790","P","embryo development","IEA","TAIR:AT4G20060"
"chrChr1_mRNA_48_256872","LOC_Os01g01484.2","GO:0009791","P","post-embryonic development","IEA","TAIR:AT4G10180"
"chrChr1_mRNA_99_579569","LOC_Os01g02060.2","GO:0007165","P","signal transduction","IEA","TAIR:AT1G13230"
"chrChr1_mRNA_106_612564","LOC_Os01g02120.1","GO:0009719","P","response to endogenous stimulus","IEA","TAIR:AT1G18100"
"chrChr1_mRNA_736_4076438","LOC_Os01g08320.1","GO:0003700","F","sequence-specific DNA binding transcription factor","IEA","TAIR:AT3G04730"
"chrChr1_mRNA_759_4244531","LOC_Os01g08540.1","GO:0006950","P","response to stress","IEA","TAIR:AT3G24495"
"chrChr1_mRNA_877_5065209","LOC_Os01g09800.1","GO:0009607","P","response to biotic stimulus","IEA","TAIR:AT1G64280"
"chrChr1_mRNA_877_5065209","LOC_Os01g09800.1","GO:0007165","P","signal transduction","IEA","TAIR:AT1G64280"
"chrChr1_mRNA_877_5065209","LOC_Os01g09800.1","GO:0009719","P","response to endogenous stimulus","IEA","TAIR:AT1G64280"
"chrChr1_mRNA_380_2202278","LOC_Os01g04800.1","GO:0007165","P","signal transduction","IEA","TAIR:AT1G25560"
"chrChr1_mRNA_1086_6630462","LOC_Os01g12160.2","GO:0007165","P","signal transduction","IEA","TAIR:AT2G46370"
"chrChr1_mRNA_727_3986647","LOC_Os01g08200.1","GO:0007275","P","multicellular organismal development","IEA","TAIR:AT3G20630"
"chrChr1_mRNA_771_4326342","LOC_Os01g08680.1","GO:0003700","F","sequence-specific DNA binding transcription factor","IEA","TAIR:AT2G36960"
"chrChr1_mRNA_2748_17945068","LOC_Os01g32720.1","GO:0006950","P","response to stress","IEA","TAIR:AT5G55390"
"chrChr1_mRNA_2748_17945068","LOC_Os01g32720.1","GO:0009908","P","flower development","IEA","TAIR:AT5G55390"
"chrChr1_mRNA_3449_22731943","LOC_Os01g40260.1","GO:0009719","P","response to endogenous stimulus","IEA","TAIR:AT5G26170"
"chrChr1_mRNA_1385_8577931","LOC_Os01g15320.1","GO:0007267","P","cell-cell signaling","IEA","TAIR:AT3G05490"
"chrChr1_mRNA_2045_13144941","LOC_Os01g23380.1","GO:0006950","P","response to stress","IEA","TAIR:AT3G07040"
"chrChr1_mRNA_5304_34628602","LOC_Os01g40820.1","GO:0009628","P","response to abiotic stimulus","IEA","TAIR:AT5G53170"
"chrChr1_mRNA_2881_18847973","LOC_Os01g34190.1","GO:0006950","P","response to stress","IEA","TAIR:AT1G30480"
"chrChr1_mRNA_2150_13794854","LOC_Os01g24470.1","GO:0009719","P","response to endogenous stimulus","IEA","TAIR:AT5G23720"
"chrChr1_mRNA_2940_19242042","LOC_Os01g34850.1","GO:0006950","P","response to stress","IEA","TAIR:AT4G10310"
"chrChr1_mRNA_1569_9902737","LOC_Os01g17214.1","GO:0009607","P","response to biotic stimulus","IEA","TAIR:AT3G43790"
